time,activity
2021-04-25 21:41:47,Running
2021-04-25 21:41:49,Running
2021-04-25 21:41:48,Running
2021-04-25 21:41:49,Walking
2021-04-25 21:41:50,Walking
2021-04-25 21:41:50,Standing
2021-04-25 21:41:50,Standing
2021-04-25 21:41:51,Standing
2021-04-25 21:41:51,Standing
2021-04-25 21:41:53,Standing
2021-04-25 21:41:53,Standing
2021-04-25 21:41:53,Standing
2021-04-25 21:41:53,Standing
2021-04-25 21:41:54,Standing
2021-04-25 21:41:54,Standing
2021-04-25 21:41:55,Standing
2021-04-25 21:41:55,Standing
2021-04-25 21:41:55,Standing
2021-04-25 21:41:56,Standing
2021-04-25 21:41:56,Standing
2021-04-25 21:41:58,Standing
2021-04-25 21:41:58,Standing
2021-04-25 21:41:59,Standing
2021-04-25 21:41:58,Standing
2021-04-25 21:41:59,Standing
2021-04-25 21:41:59,Standing
2021-04-25 21:41:59,Standing
2021-04-25 21:41:59,Standing
2021-04-25 21:42:00,Standing
2021-04-25 21:42:00,Standing
2021-04-25 21:42:00,Standing
2021-04-25 21:42:00,Standing
2021-04-25 21:42:01,Standing
2021-04-25 21:42:01,Standing
2021-04-25 21:42:03,Standing
2021-04-25 21:42:03,Walking
2021-04-25 21:42:03,Running
2021-04-25 21:42:04,Running
2021-04-25 21:42:04,Walking
2021-04-25 21:42:04,Walking
2021-04-25 21:42:04,Walking
2021-04-25 21:42:04,Standing
2021-04-25 21:42:05,Standing
2021-04-25 21:42:05,Standing
2021-04-25 21:42:05,Standing
2021-04-25 21:42:05,Standing
2021-04-25 21:42:05,Standing
2021-04-25 21:42:06,Standing
2021-04-25 21:42:06,Standing
2021-04-25 21:42:08,Standing
2021-04-25 21:42:08,Standing
2021-04-25 21:42:08,Standing
2021-04-25 21:42:09,Standing
2021-04-25 21:42:09,Standing
2021-04-25 21:42:09,Standing
2021-04-25 21:42:09,Walking
2021-04-25 21:42:09,Standing
2021-04-25 21:42:10,Standing
2021-04-25 21:42:10,Standing
2021-04-25 21:42:10,Standing
2021-04-25 21:42:10,Standing
2021-04-25 21:42:10,Walking
2021-04-25 21:42:11,Standing
2021-04-25 21:42:13,Standing
2021-04-25 21:42:13,Standing
2021-04-25 21:42:13,Standing
2021-04-25 21:42:14,Walking
2021-04-25 21:42:14,Walking
2021-04-25 21:42:14,Running
2021-04-25 21:42:14,Running
2021-04-25 21:42:15,Running
2021-04-25 21:42:15,Running
2021-04-25 21:42:15,Walking
2021-04-25 21:42:15,Walking
2021-04-25 21:42:16,Running
2021-04-25 21:42:16,Running
